miesiac	dzien	stan wody	przeplyw
11	8	156	84
11	9	154	80.5
11	10	155	82.2
11	11	157	85.8
11	12	152	77
11	13	151	75.2
11	14	148	70.4
11	15	144	64.2
11	16	142	61.1
11	17	140	58
11	18	139	56.6
11	19	138	55.2
11	20	135	51
11	21	134	49.6
11	22	131	45.4
11	23	130	44
11	24	128	41.6
11	25	127	40.4
11	26	126	39.2
11	27	126	39.2
11	28	124	36.8
11	29	124	36.8
11	30	123	35.6
12	1	122	34.4
12	2	121	33.2
12	3	120	32
12	4	119	31.1
12	5	118	30.2
12	6	118	30.2
12	7	117	29.3
12	8	116	28.4
12	9	123	35.6
12	10	128	41.6
12	11	124	36.8
12	12	123	35.6
12	13	123	35.6
12	14	124	36.8
12	15	154	80.5
12	16	178	130
12	17	157	85.8
12	18	147	68.8
12	19	141	59.6
12	20	139	56.6
12	21	137	53.8
12	22	134	49.6
12	23	131	45.4
12	24	130	44
12	25	128	41.6
12	26	126	39.2
12	27	125	38
12	28	123	35.600
12	29	122	34.4
12	30	122	34.4
12	31	121	33.2
